month,wsu,wsv
1,-0.525590212071253,-0.23064410223145462
2,-0.6214445902914939,-0.22876249968731574
3,-0.7077857295274159,-0.16592846731010263
4,-0.625493214062109,-0.12578345499874866
5,-0.5587034069174565,-0.07022303441649534
6,-0.6122048189157329,-0.0332412623423223
7,-0.7522983163158259,-0.01510712852825689
8,-0.686801442029072,-0.011463682895121495
9,-0.7990865737808098,-0.019583184064958604
10,-0.5368447166343531,-0.03618877049493903
11,-0.514561312177784,-0.054587939633016815
12,-0.3441909689726953,-0.14486791131148
