month,wsu,wsv
1,0.002185750871747044,-0.1159367565259209
2,0.0006733111381160271,-0.1781162092842538
3,-0.13441642572893966,-0.08948877710683886
4,-0.1681267530790032,-0.04818653554795321
5,-0.1435628040025962,-0.020227819610231654
6,-0.24686454623613047,-0.0013638379675643684
7,-0.14190797415280956,-0.00067375526460555
8,-0.11836817248222439,-0.0006584582340093089
9,-0.13035423975771113,-0.0025676358574069427
10,-0.09119238361356084,-0.0021046159193238855
11,-0.04605663492820538,-0.01631740905335374
12,0.029301451857947317,-0.050096451066858706
